ITER	CANDIDATE	VOTES
23	SHAND David	0
23	TURNER Susan	0
24	BLAKELEY Roger	9522.138791634
24	COFFEY 'Ana	9501.015259417
24	VERRALL Ayesha	9494.642452872
24	KEDGLEY Sue	9489.8899501
24	ADAMS Kathryn	9487.598608852
24	KALDERIMIS Chris	9472.777554654
24	SIMPSON Vanessa	8927.11991617
24	BROWN Eileen	8556.56116321
24	APANOWICZ John	0
24	CLARK Marion	0
24	CLARK Nathan	0
24	FISO John	0
24	GRICE Stephen	0
24	HOLBOROW Janet	0
24	HUGHES Glenda	0
24	ISA Letitia	0
24	MARSH Simon (Swampy)	0
24	MITIKULENA Alvin	0
24	NG Shan	0
24	O'DWYER Letitia	0
24	PETERS John	0
24	SHAND David	0
24	TURNER Susan	0
25	BLAKELEY Roger	9414.204326624
25	COFFEY 'Ana	9402.852974801
25	VERRALL Ayesha	9397.548405875
25	KEDGLEY Sue	9395.100533743
25	ADAMS Kathryn	9394.063656126
25	KALDERIMIS Chris	9385.036375497
25	SIMPSON Vanessa	9104.605247072
25	BROWN Eileen	8730.544355608
25	APANOWICZ John	0
25	CLARK Marion	0
25	CLARK Nathan	0
25	FISO John	0
25	GRICE Stephen	0
25	HOLBOROW Janet	0
25	HUGHES Glenda	0
25	ISA Letitia	0
25	MARSH Simon (Swampy)	0
25	MITIKULENA Alvin	0
25	NG Shan	0
25	O'DWYER Letitia	0
25	PETERS John	0
25	SHAND David	0
25	TURNER Susan	0
26	BLAKELEY Roger	9346.032506224
26	COFFEY 'Ana	9338.768382826
26	VERRALL Ayesha	9335.664034311
26	KEDGLEY Sue	9333.913837674
26	ADAMS Kathryn	9333.282015066
26	KALDERIMIS Chris	9327.624531054
26	SIMPSON Vanessa	9218.985667721
26	BROWN Eileen	8842.407807412
26	APANOWICZ John	0
26	CLARK Marion	0
26	CLARK Nathan	0
26	FISO John	0
26	GRICE Stephen	0
26	HOLBOROW Janet	0
26	HUGHES Glenda	0
26	ISA Letitia	0
26	MARSH Simon (Swampy)	0
26	MITIKULENA Alvin	0
26	NG Shan	0
26	O'DWYER Letitia	0
26	PETERS John	0
26	SHAND David	0
26	TURNER Susan	0
27	BLAKELEY Roger	9302.400940065
27	COFFEY 'Ana	9297.92838001
27	VERRALL Ayesha	9295.956901095
27	KEDGLEY Sue	9294.835590245
27	ADAMS Kathryn	9294.467322478
27	SIMPSON Vanessa	9292.07560705
27	KALDERIMIS Chris	9290.92283953
27	BROWN Eileen	8913.832994165
27	APANOWICZ John	0
27	CLARK Marion	0
27	CLARK Nathan	0
27	FISO John	0
27	GRICE Stephen	0
27	HOLBOROW Janet	0
27	HUGHES Glenda	0
27	ISA Letitia	0
27	MARSH Simon (Swampy)	0
27	MITIKULENA Alvin	0
27	NG Shan	0
27	O'DWYER Letitia	0
27	PETERS John	0
27	SHAND David	0
27	TURNER Susan	0
